,Report Number,Report Class,year,season,month,date,state,county
937,39382,B,2010,Spring,April,,Florida,Collier County
939,24656,A,2008,Summer,September,Sept. 1,Florida,Collier County
940,22156,B,2007,Fall,December,Sunday 9th,Florida,Collier County
941,22122,B,2007,Fall,November,11/17/2007,Florida,Collier County
942,13889,B,1980,Summer,July,,Florida,Collier County
943,16347,B,2006,Fall,October,5-10,Florida,Collier County
944,13514,A,2005,Summer,June,2nd,Florida,Collier County
945,18737,B,2005,Spring,April,2nd week,Florida,Collier County
946,2856,A,1973,Spring,May,"February 21, 2004",Florida,Collier County
947,16303,A,2001,Winter,,,Florida,Collier County
948,2915,B,2001,Spring,March,,Florida,Collier County
949,15318,B,1997,Summer,October,10/1/1997,Florida,Collier County
950,721,A,1997,Summer,July,,Florida,Collier County
951,720,A,1993,Winter,November,20,Florida,Collier County
952,20420,B,1987,Summer,June,,Florida,Collier County
953,607,A,1983,Winter,November,,Florida,Collier County
954,7205,A,1979,Summer,August,August 1979,Florida,Collier County
955,14271,B,1975,Fall,,,Florida,Collier County
956,38893,B,2010,Fall,November,10,Florida,Dade County
957,21951,A,1977,Fall,November,NA,Florida,Dade County
958,49084,A,1975,Spring,June,20,Florida,Dade County
960,722,A,1998,Winter,February,9,Florida,Dixie County
961,35940,B,2012,Summer,July,7/6/2012,Florida,Duval County
962,26577,B,2009,Summer,June,18,Florida,Duval County
963,14719,B,2006,Spring,May,05/20/2006,Florida,Duval County
964,446,A,2000,Summer,August,22,Florida,Duval County
966,8514,A,1994,Spring,,1994,Florida,Duval County
967,16683,A,1975,Fall,November,Nov 1975,Florida,Duval County
968,75671,B,2023,Spring,March,,Florida,Escambia County
969,26947,B,2009,Fall,November,21st and 25th,Florida,Escambia County
970,76678,B,2009,Winter,January,,Florida,Escambia County
971,5801,A,1994,Spring,April,,Florida,Escambia County
973,34426,B,2011,Winter,December,5,Florida,Flagler County
975,13298,A,2005,Fall,September,18TH,Florida,Gadsden County
976,246,A,1994,Winter,December,18,Florida,Gadsden County
977,10855,A,1998,Fall,November,,Florida,Gilchrist County
978,7792,B,1998,Winter,January,,Florida,Gulf County
980,56165,B,2016,Winter,December,12/22/2016,Florida,Hernando County
981,22074,B,2005,Fall,September,,Florida,Hernando County
984,14021,A,2006,Winter,March,4,Florida,Highlands County
985,75271,B,2022,Winter,December,12,Florida,Hillsborough County
986,62240,B,2018,Fall,November,20,Florida,Hillsborough County
987,42978,A,2013,Fall,November,24,Florida,Hillsborough County
988,35053,B,2012,Spring,April,11,Florida,Hillsborough County
989,41448,A,2012,Spring,March,29,Florida,Hillsborough County
990,26377,A,2001,Winter,January,,Florida,Hillsborough County
991,18395,B,1996,Spring,May,,Florida,Hillsborough County
992,1061,A,1984,Summer,June,6/1984,Florida,Hillsborough County
993,13034,A,1955,Unknown,,,Florida,Hillsborough County
994,24586,B,2005,Summer,July,27,Florida,Holmes County
995,14181,B,2006,Spring,March,March 2006,Florida,Holmes County
996,23399,B,2005,Spring,March,,Florida,Holmes County
999,32426,A,2012,Winter,January,21,Florida,Indian River County
1000,724,A,1990,Unknown,,,Florida,Jackson County
1001,26393,B,2006,Fall,,,Florida,Jefferson County
1003,50144,A,2015,Fall,November,6,Florida,Lake County
1004,50462,B,2015,Fall,September,26,Florida,Lake County
1005,46604,B,2014,Summer,August,15th.,Florida,Lake County
1006,34954,A,2012,Winter,January,15,Florida,Lake County
1007,31153,B,2011,Summer,July,4,Florida,Lake County
1008,23582,B,2008,Spring,April,2,Florida,Lake County
1009,19958,A,2007,Summer,July,12,Florida,Lake County
1010,32249,A,1987,Spring,April,10,Florida,Lake County
1011,22358,B,2007,Spring,March,15,Florida,Lake County
1012,14100,B,2006,Spring,March,11,Florida,Lake County
1013,12903,B,2005,Winter,February,12,Florida,Lake County
1014,1480,B,1996,Fall,October,,Florida,Lake County
1015,23696,A,1993,Spring,,,Florida,Lake County
1016,14118,A,1985,Winter,December,,Florida,Lake County
1017,725,A,1980,Summer,July,2,Florida,Lake County
1018,5510,B,1980,Summer,June,30,Florida,Lake County
1020,27778,B,1974,Winter,December,,Florida,Lake County
1021,38165,B,2012,Fall,October,10,Florida,Lee County
1022,38924,A,2009,Fall,September,14th,Florida,Lee County
1023,9885,B,2004,Spring,,,Florida,Lee County
1024,6992,B,1963,Spring,,Spring 1963,Florida,Lee County
1025,20333,B,1983,Summer,July,07/01/1983,Florida,Lee County
1028,5702,A,2001,Winter,December,"December 31, 2001",Florida,Leon County
1029,55574,A,2016,Fall,September,11,Florida,Levy County
1030,40935,A,2013,Spring,April,13,Florida,Levy County
1031,36634,B,2012,Fall,September,29th,Florida,Levy County
1032,31933,B,2012,Winter,January,8 & 9,Florida,Levy County
1033,17644,A,2005,Fall,September,,Florida,Levy County
1035,28418,A,1991,Summer,August,,Florida,Levy County
1036,1407,A,1991,Summer,June,,Florida,Levy County
1037,48599,B,1991,Winter,January,11,Florida,Levy County
1038,27250,A,1981,Fall,August,,Florida,Levy County
1039,430,B,1981,Summer,August,15,Florida,Levy County
1040,40618,A,2013,Winter,March,28,Florida,Liberty County
1041,21254,B,1995,Winter,December,15,Florida,Liberty County
1042,63827,B,2017,Winter,,15,Florida,Madison County
1044,59537,B,2018,Summer,June,1,Florida,Manatee County
1045,57884,A,2017,Summer,July,10,Florida,Manatee County
1046,17043,B,2006,Fall,November,26,Florida,Manatee County
1047,25978,A,1983,Spring,March,?,Florida,Manatee County
1048,59858,A,2017,Summer,August,,Florida,Marion County
1049,42726,A,2013,Fall,October,Friday,Florida,Marion County
1050,37275,A,2012,Fall,November,11,Florida,Marion County
1051,33764,A,2012,Winter,February,21,Florida,Marion County
1052,32332,B,2011,Fall,November,November 2011,Florida,Marion County
1053,35474,B,2011,Fall,September,18,Florida,Marion County
1054,30547,A,2008,Spring,,,Florida,Marion County
1055,29371,B,2007,Winter,,,Florida,Marion County
1056,23120,A,2006,Summer,July,15,Florida,Marion County
1057,9282,A,2004,Fall,September,6,Florida,Marion County
1058,23076,A,2004,Spring,June,15,Florida,Marion County
1059,598,B,2000,Winter,October,"15, 28",Florida,Marion County
1060,12921,A,2000,Winter,January,1,Florida,Marion County
1061,729,A,1997,Summer,July,25,Florida,Marion County
1062,11387,B,1994,Spring,March,03/01/1994,Florida,Marion County
1063,19354,B,1993,Summer,,,Florida,Marion County
1064,7692,B,1979,Fall,,,Florida,Marion County
1065,728,A,1977,Winter,November,15,Florida,Marion County
1066,726,A,1977,Fall,October,5,Florida,Marion County
1067,71801,A,2021,Summer,August,,Florida,Martin County
1068,38104,B,2012,Fall,December,12/05/2012,Florida,Martin County
1069,5369,A,1978,Summer,July,"July,1978",Florida,Martin County
1070,26271,B,1998,Fall,November,22,Florida,Martin County
1071,45566,B,2014,Winter,December,12-15-2013,Florida,Monroe County
1072,65655,B,2013,Spring,May,May 2013,Florida,Monroe County
1073,15170,A,2006,Spring,March,,Florida,Monroe County
1074,36218,A,1995,Spring,March,,Florida,Monroe County
1075,1283,B,1992,Winter,February,,Florida,Monroe County
1077,39080,A,2012,Winter,December,8th,Florida,Nassau County
1078,72285,B,2022,Winter,March,3,Florida,Okaloosa County
1079,67590,B,2021,Winter,January,28th,Florida,Okaloosa County
1080,67412,A,2020,Winter,December,12/26/2020,Florida,Okaloosa County
1081,63433,A,2019,Summer,August,21,Florida,Okaloosa County
1082,40564,B,2013,Spring,March,22,Florida,Okaloosa County
1083,28634,A,2010,Winter,December,19,Florida,Okaloosa County
1085,730,A,1996,Fall,,,Florida,Okaloosa County
1087,40584,B,2009,Summer,May,,Florida,Okeechobee County
1088,7904,A,2004,Winter,January,18th,Florida,Okeechobee County
1089,13961,B,2003,Summer,August,15,Florida,Okeechobee County
1090,74308,B,2021,Summer,June,26,Florida,Orange County
1091,41275,B,2013,Spring,May,23rd,Florida,Orange County
1092,36826,B,2012,Fall,October,27,Florida,Orange County
1093,36710,B,2012,Fall,October,19,Florida,Orange County
1094,36004,A,2011,Fall,September,15,Florida,Orange County
1095,15694,B,2006,Fall,September,02,Florida,Orange County
1096,25577,B,2003,Spring,March,15 march,Florida,Orange County
1098,34787,B,1983,Summer,August,26,Florida,Orange County
1099,1275,A,1980,Spring,,,Florida,Orange County
1100,39338,B,2013,Winter,January,Tuesday,Florida,Osceola County
1101,42134,B,2012,Winter,November,18,Florida,Osceola County
1102,33612,B,2012,Unknown,February,"Abouit a week ago,",Florida,Osceola County
1103,35769,B,2011,Summer,August,26,Florida,Osceola County
1104,734,A,1999,Spring,May,21,Florida,Osceola County
1105,731,A,1999,Spring,March,,Florida,Osceola County
1106,736,A,1999,Winter,January,2,Florida,Osceola County
1107,733,A,1998,Winter,November,22,Florida,Osceola County
1108,8935,B,1985,Winter,November,fri - sun,Florida,Osceola County
1110,45551,B,1974,Summer,,,Florida,Palm Beach County
1112,32308,B,2011,Winter,December,12th,Florida,Pasco County
1113,42293,B,2010,Winter,December,24,Florida,Pasco County
1114,25582,A,2009,Winter,March,5,Florida,Pasco County
1115,24266,A,2006,Fall,November,,Florida,Pasco County
1116,15361,A,2006,Summer,July,7/27/06,Florida,Pasco County
1117,7627,B,1978,Summer,,6/1978,Florida,Pasco County
1118,737,A,1984,Summer,June,,Florida,Pasco County
1120,41892,A,2013,Summer,August,08-17-2013,Florida,Pinellas County
1121,47378,A,1977,Fall,October,a Friday,Florida,Pinellas County
1122,57991,B,2017,Summer,August,02,Florida,Polk County
1123,49777,A,2014,Spring,April,24,Florida,Polk County
1124,41265,B,2013,Spring,May,16,Florida,Polk County
1125,41309,B,2013,Summer,May,31,Florida,Polk County
1126,45883,B,2013,Spring,April,13,Florida,Polk County
1127,51800,B,2012,Winter,January,4,Florida,Polk County
1128,25129,A,2008,Fall,November,1,Florida,Polk County
1129,16823,B,2006,Winter,December,1,Florida,Polk County
1134,24032,A,1978,Winter,January,1st,Florida,Polk County
1135,11812,A,1974,Fall,September,,Florida,Polk County
1136,35529,A,2010,Spring,June,7,Florida,Putnam County
1137,25979,B,2007,Summer,June,,Florida,Putnam County
1138,24893,B,2008,Fall,October,10,Florida,Putnam County
1141,10192,B,2002,Fall,November,14,Florida,Santa Rosa County
1142,9113,A,2000,Summer,June,?,Florida,Santa Rosa County
1143,989,A,1982,Winter,January,unknown,Florida,Santa Rosa County
1144,69452,A,2021,Spring,March,27,Florida,Sarasota County
1145,47021,A,2014,Fall,September,Sept 9,Florida,Sarasota County
1146,39014,B,2012,Winter,December,25th,Florida,Sarasota County
1147,8561,B,1999,Summer,,Early summer,Florida,Sarasota County
1148,12587,A,1988,Summer,,,Florida,Sarasota County
1149,10867,A,1981,Summer,August,7,Florida,Sarasota County
1150,59236,A,2017,Winter,January,Tuesday,Florida,Seminole County
1151,24134,B,2008,Summer,June,30,Florida,Seminole County
1152,44404,B,2003,Summer,July,,Florida,Seminole County
1153,1079,B,1981,Fall,October,,Florida,Seminole County
1154,37304,A,1972,Summer,July,29,Florida,Seminole County
1155,40019,B,2013,Winter,February,"Saturday, 23rd",Florida,St. Johns County
1156,31745,A,2011,Summer,July,2,Florida,St. Johns County
1157,7109,B,2002,Winter,January,,Florida,St. Johns County
1158,12351,B,2005,Summer,August,19,Florida,St. Johns County
1159,1003,A,1984,Fall,October,15th,Florida,St. Johns County
1160,76634,B,2016,Spring,April,13,Florida,Sumter County
1161,38923,B,2013,Winter,January,13,Florida,Sumter County
1162,36915,B,2011,Fall,October,11,Florida,Sumter County
1163,43381,B,2012,Fall,,,Florida,Sumter County
1164,28237,A,2010,Summer,September,"4,5,",Florida,Sumter County
1165,26823,A,2009,Spring,October,18,Florida,Sumter County
1166,28200,A,2009,Fall,October,18,Florida,Sumter County
1167,12628,B,1990,Summer,June,June 1990,Florida,Sumter County
1168,43162,A,2013,Winter,December,12-6-13,Florida,Suwannee County
1169,49326,A,2011,Winter,October,15,Florida,Suwannee County
1170,21979,B,2007,Winter,November,10,Florida,Suwannee County
1171,16473,A,2006,Fall,November,1,Florida,Suwannee County
1172,33784,B,2000,Summer,July,n/k,Florida,Suwannee County
1173,14427,A,1994,Summer,July,7/13/1994,Florida,Suwannee County
1174,20981,B,1994,Summer,July,06/15/94,Florida,Suwannee County
1175,28263,B,1981,Winter,November,,Florida,Taylor County
1176,76617,A,2023,Fall,October,12,Florida,Union County
1177,23498,B,1986,Winter,November,,Florida,Union County
1178,74678,B,2021,Summer,July,20,Florida,Volusia County
1179,40901,B,2013,Winter,February,24,Florida,Volusia County
1180,36112,B,2012,Summer,July,27,Florida,Volusia County
1181,35574,B,2012,Spring,May,Monday May 28,Florida,Volusia County
1182,32203,A,2011,Fall,October,22,Florida,Volusia County
1183,31680,B,2007,Fall,October,23,Florida,Volusia County
1184,19232,B,2007,Spring,May,19,Florida,Volusia County
1185,12068,B,2005,Spring,May,24,Florida,Volusia County
1186,2848,B,2001,Summer,June,29,Florida,Volusia County
1188,746,A,1989,Spring,,,Florida,Volusia County
1189,40034,A,1985,Spring,May,25,Florida,Volusia County
1190,23570,A,2008,Winter,February,,Florida,Wakulla County
1192,9174,A,2004,Summer,August,8TH,Florida,Washington County
1193,42885,B,2003,Fall,October,,Florida,Washington County
1194,5884,A,2003,Winter,February,18,Florida,Washington County
1195,32489,A,2011,Fall,November,9,Georgia,Atkinson County
1196,26396,B,2007,Fall,November,,Georgia,Atkinson County
1197,17477,B,2003,Summer,August,08/12/2003,Georgia,Atkinson County
1198,33985,A,2011,Fall,December,9,Georgia,Bartow County
1199,19421,A,2006,Fall,September,9/1/2006,Georgia,Bartow County
1200,2094,B,1999,Spring,June,16th,Georgia,Bartow County
1201,2093,B,1999,Spring,May,19th or 20th,Georgia,Bartow County
1202,24125,A,2008,Summer,July,2,Georgia,Berrien County
1203,59113,A,2000,Summer,June,15,Georgia,Berrien County
1204,14525,A,1976,Fall,October,Friday,Georgia,Berrien County
1206,10874,A,1986,Fall,October,11,Georgia,Brantley County
1207,4393,A,2001,Winter,December,don't remember,Georgia,Brooks County
1208,69052,A,2019,Winter,December,20,Georgia,Bulloch County
1210,7113,A,1999,Summer,July,10/26/03,Georgia,Carroll County
1211,7356,B,1976,Winter,January,1-3 Jan,Georgia,Chatham County
1212,43059,A,2013,Summer,July,not sure,Georgia,Chattooga County
1213,75283,B,2022,Winter,December,December 17,Georgia,Cherokee County
1214,26262,A,2009,Summer,June,28,Georgia,Cherokee County
1215,25485,B,2009,Winter,February,14,Georgia,Cherokee County
1216,7004,B,2003,Fall,October,10/2,Georgia,Cherokee County
1217,1864,A,1993,Winter,November,3,Georgia,Cherokee County
1218,3094,B,1987,Fall,,Fall 1987,Georgia,Cherokee County
1219,9712,A,1984,Summer,July,,Georgia,Clayton County
1220,26822,A,2009,Fall,October,7th,Georgia,Clinch County
1221,1865,B,1999,Spring,May,8th,Georgia,Cobb County
1222,27300,A,2009,Summer,August,,Georgia,Colquitt County
1223,58046,B,2016,Summer,August,15,Georgia,Cook County
1224,26352,A,2007,Fall,July,,Georgia,Coweta County
1225,15457,A,2003,Fall,November,17,Georgia,Coweta County
1226,58900,B,2010,Fall,September,Na,Georgia,Crawford County
1227,30483,B,2011,Summer,August,25,Georgia,Crisp County
1228,73291,A,2020,Winter,February,(not sure),Georgia,Dade County
1229,21359,A,1987,Summer,July,,Georgia,Dade County
1230,28982,B,2011,Spring,March,11,Georgia,Decatur County
1231,56752,A,1986,Summer,June,11,Georgia,Dodge County
1232,24393,B,1977,Summer,,,Georgia,Dougherty County
1233,447,A,1974,Summer,June,15,Georgia,Douglas County
1234,18361,B,2007,Spring,March,24,Georgia,Effingham County
1236,43553,B,2006,Fall,September,25,Georgia,Emanuel County
1237,8454,A,2004,Spring,April,1,Georgia,Emanuel County
1238,49544,B,1986,Fall,September,13,Georgia,Emanuel County
1239,7575,B,1982,Winter,November,23,Georgia,Emanuel County
1240,2393,A,1985,Summer,September,,Georgia,Fannin County
1241,68899,A,2018,Fall,December,mid Dec,Georgia,Fayette County
1242,26313,A,2009,Summer,July,17th,Georgia,Fayette County
1243,29530,B,2011,Summer,June,"6, 20 , 11",Georgia,Floyd County
1245,30004,A,2005,Fall,October,10/10/2005,Georgia,Floyd County
1246,22813,B,2005,Summer,August,15,Georgia,Floyd County
1247,6097,A,1961,Fall,September,,Georgia,Fulton County
1248,43611,B,2014,Winter,January,5,Georgia,Gilmer County
1249,8405,A,1963,Summer,July,4TH,Georgia,Glynn County
1250,18001,B,1999,Summer,August,08/13/1999,Georgia,Gwinnett County
1251,2100,B,1974,Spring,March,,Georgia,Gwinnett County
1252,35352,B,2012,Spring,May,5/9/2012,Georgia,Habersham County
1254,17249,B,2006,Winter,December,31,Georgia,Hall County
1256,56061,A,2016,Winter,December,3,Georgia,Haralson County
1257,18377,B,2006,Winter,December,18,Georgia,Haralson County
1258,398,A,1996,Summer,July,30,Georgia,Heard County
1259,33115,A,1986,Summer,June,15,Georgia,Jasper County
1260,47523,B,2013,Winter,November,5th,Georgia,Jones County
1262,15329,B,2006,Summer,July,26,Georgia,Lanier County
1263,35631,B,2012,Summer,May,30,Georgia,Lee County
1264,18707,A,1992,Summer,July,,Georgia,Lee County
1265,28526,A,2004,Summer,,,Georgia,Liberty County
1266,17089,A,1998,Fall,,11/12/1998,Georgia,Liberty County
1268,45216,A,2014,Spring,May,30,Georgia,Long County
1269,5395,A,1998,Fall,October,"October 15, 98",Georgia,Long County
1270,18439,B,1987,Fall,September,,Georgia,Long County
1271,56567,B,2017,Winter,January,1/15/2017,Georgia,Macon County
1272,32435,A,1978,Summer,June,7,Georgia,Macon County
1273,27197,A,2010,Winter,January,1-12-10,Georgia,Murray County
1274,19129,B,2005,Spring,April,20th or 21st,Georgia,Murray County
1275,25043,A,2001,Fall,October,mid,Georgia,Murray County
1276,47841,B,2015,Winter,January,1/30/2015,Georgia,Paulding County
1277,36238,B,2012,Summer,August,12,Georgia,Paulding County
1278,48086,A,2011,Fall,October,October,Georgia,Paulding County
1279,32254,B,2011,Summer,August,End of month,Georgia,Paulding County
1280,18044,A,2007,Winter,February,27,Georgia,Paulding County
1281,14887,B,2006,Summer,June,7th,Georgia,Paulding County
1282,26019,B,2006,Summer,June,06/21/2006,Georgia,Paulding County
1283,18016,A,2006,Summer,June,06/16/2006,Georgia,Paulding County
1284,38870,A,2004,Spring,May,15,Georgia,Paulding County
1285,77585,A,2024,Summer,August,25,Georgia,Peach County
1286,50075,A,2015,Fall,October,26,Georgia,Peach County
1287,23911,A,2007,Winter,,OCTOBER,Georgia,Pickens County
1288,41169,B,2013,Spring,May,10,Georgia,Polk County
1289,38873,A,2012,Summer,July,saturday,Georgia,Polk County
1290,49286,B,2007,Summer,July,19,Georgia,Polk County
1292,57053,A,2014,Fall,November,11/8/14,Georgia,Rabun County
1293,25574,B,2009,Winter,February,22,Georgia,Rabun County
1294,9818,A,1998,Spring,May,23,Georgia,Rabun County
1295,44571,B,2011,Fall,November,25,Georgia,Randolph County
1296,2218,A,1979,Winter,December,,Georgia,Richmond County
1297,4236,B,1965,Summer,June,,Georgia,Richmond County
1298,25346,B,2009,Winter,,20 Jan 2009,Georgia,Spalding County
1299,2219,A,1978,Summer,June,mid-June,Georgia,Stephens County
1300,2220,A,2000,Summer,August,30,Georgia,Stewart County
1301,2278,B,1986,Unknown,,,Georgia,Sumter County
1302,4109,B,1995,Winter,December,,Georgia,Tattnall County
1303,2279,A,1982,Unknown,,,Georgia,Tattnall County
1304,77604,B,2024,Spring,May,16,Georgia,Towns County
1305,35512,B,2012,Spring,May,24,Georgia,Troup County
1307,77591,B,2023,Summer,September,22,Georgia,Twiggs County
1308,23701,B,2005,Summer,July,3,Georgia,Union County
1309,29326,A,1994,Spring,May,,Georgia,Union County
1310,9001,B,2004,Summer,July,week of 15th,Georgia,Upson County
1311,30730,B,2011,Fall,September,9 28 2011,Georgia,Walker County
1312,11030,B,1983,Winter,January,"January 16, 1983",Georgia,Walker County
1313,7088,B,2003,Fall,October,7,Georgia,Walker County
1314,2589,B,1998,Summer,August,4,Georgia,Walker County
1315,7464,B,1974,Fall,November,November 1974,Georgia,Walker County
1316,27072,A,2008,Winter,November,23,Georgia,Wayne County
1317,46328,A,2009,Spring,March,,Georgia,White County
1318,25693,B,2009,Winter,March,,Georgia,White County
1319,22852,B,2007,Fall,September,27,Georgia,White County
1320,13178,B,2005,Winter,November,25,Georgia,White County
1321,9465,A,2004,Fall,October,5,Georgia,White County
1322,8880,B,1997,Spring,June,15,Georgia,White County
1323,7237,A,1999,Fall,November,Thanksgiving night,Georgia,White County
1324,28637,A,1993,Spring,May,,Georgia,White County
1327,21193,A,2007,Summer,August,1,Georgia,Whitfield County
1328,72175,B,2009,Fall,November,saturday,Georgia,Wilkinson County
1329,44429,A,2012,Fall,November,,Iowa,Boone County
1330,41845,B,2013,Summer,August,August 6-9,Iowa,Boone County
1331,41700,B,2013,Summer,July,23,Iowa,Boone County
1332,57358,B,2013,Summer,August,,Iowa,Buchanan County
1333,9089,A,2004,Summer,July,16,Iowa,Buchanan County
1334,57939,B,2017,Summer,June,15,Iowa,Chickasaw County
1335,44740,B,1970,Fall,September,Around the 27th,Iowa,Clayton County
1336,1234,A,1970,Summer,,,Iowa,Clayton County
1337,44111,B,2012,Summer,July,,Iowa,Dallas County
1338,1197,A,1978,Fall,November,,Iowa,Dallas County
1339,24056,B,2008,Spring,May,28,Iowa,Decatur County
1340,1554,A,2000,Summer,June,,Iowa,Decatur County
1341,22147,A,1991,Fall,September,,Iowa,Decatur County
1342,39831,B,2013,Winter,February,4,Iowa,Dickinson County
1344,36514,B,2012,Fall,September,21,Iowa,Dubuque County
1345,30530,A,2011,Summer,August,31st,Iowa,Dubuque County
1346,25071,A,2007,Fall,November,,Iowa,Dubuque County
1347,36817,B,1959,Summer,August,1,Iowa,Dubuque County
1348,23448,B,2006,Fall,October,,Iowa,Fayette County
1349,4011,A,1970,Fall,November,latter part,Iowa,Fayette County
1350,1630,A,1977,Fall,August,2 sightingf-77,Iowa,Floyd County
1351,3093,A,2001,Fall,September,1st-6th,Iowa,Franklin County
1352,56106,B,2013,Summer,June,,Iowa,Fremont County
1353,2264,A,1983,Summer,July,7/15/83,Iowa,Greene County
1354,1046,A,2000,Fall,November,Nov. 25,Iowa,Hamilton County
1355,48686,B,2015,Spring,May,14,Iowa,Hardin County
1356,33490,B,2011,Winter,,,Iowa,Humboldt County
1357,2170,A,2001,Spring,April,4/2/01,Iowa,Humboldt County
1358,1268,A,1978,Fall,September,"11,12",Iowa,Humboldt County
1359,5072,B,1977,Fall,September,unknown,Iowa,Humboldt County
1360,37336,B,2012,Fall,October,,Iowa,Jasper County
1361,58186,A,1999,Summer,August,15,Iowa,Jasper County
1362,1270,A,1975,Fall,October,28,Iowa,Jefferson County
1363,35883,B,2010,Spring,,sunday,Iowa,Johnson County
1364,27978,B,1973,Summer,,,Iowa,Johnson County
1365,27895,B,2010,Summer,June,16,Iowa,Keokuk County
1366,29125,A,2007,Spring,April,15-21,Iowa,Lee County
1367,25836,A,2006,Fall,November,23,Iowa,Lee County
1368,3049,B,1985,Spring,February,1985,Iowa,Lee County
1369,23489,A,2007,Fall,November,Late November,Iowa,Madison County
1370,511,A,2000,Fall,October,24,Iowa,Marion County
1371,6394,B,1976,Winter,January,Tuesday,Iowa,Monroe County
1372,1271,A,2000,Winter,February,,Iowa,Polk County
1373,76464,A,1997,Fall,November,late 20s,Iowa,Polk County
1374,26713,B,1980,Spring,March,late March Early Apr,Iowa,Polk County
1375,2509,B,1999,Winter,December,12-12-99,Iowa,Pottawattamie County
1376,48388,B,2013,Summer,July,,Iowa,Sac County
1377,27141,B,1989,Summer,July,07/04/89,Iowa,Scott County
1378,22945,B,1981,Winter,February,4,Iowa,Scott County
1379,58414,A,1982,Fall,November,13,Iowa,Warren County
1380,25084,A,2006,Fall,November,,Iowa,Washington County
1381,28427,B,2010,Fall,October,24,Iowa,Winneshiek County
1382,26922,B,2009,Fall,November,13,Iowa,Winneshiek County
1383,26927,B,2009,Summer,June,"June, 2009",Iowa,Winneshiek County
1384,25382,B,2009,Winter,January,28,Iowa,Winneshiek County
1385,1274,A,1997,Summer,August,9,Iowa,Woodbury County
1386,16714,B,1970,Summer,,,Iowa,Woodbury County
1387,65779,B,2009,Fall,October,7,Idaho,Adams County
1388,4987,A,1990,Fall,October,,Idaho,Adams County
1389,2063,A,1982,Spring,June,,Idaho,Adams County
1390,28386,B,2003,Summer,June,21,Idaho,Bear Lake County
1391,1796,A,1983,Fall,,,Idaho,Bear Lake County
1393,1795,B,1968,Summer,,,Idaho,Bear Lake County
1394,67192,B,2019,Summer,June,June,Idaho,Benewah County
1395,15120,B,1972,Fall,October,?,Idaho,Benewah County
1396,57872,B,2016,Fall,October,7,Idaho,Bingham County
1398,29357,A,2009,Summer,June,13,Idaho,Boise County
1399,15416,B,2004,Summer,June,,Idaho,Boise County
1400,64180,B,2020,Spring,February,,Idaho,Bonner County
1401,65276,B,2017,Fall,October,7,Idaho,Bonner County
1402,58251,A,2017,Fall,September,9/22/2017,Idaho,Bonner County
1403,58026,B,2017,Summer,August,5,Idaho,Bonner County
1404,56490,A,2016,Summer,June,26,Idaho,Bonner County
1405,56861,A,2015,Winter,December,26,Idaho,Bonner County
1406,56270,B,2014,Fall,October,24,Idaho,Bonner County
1407,42647,B,2013,Fall,November,2,Idaho,Bonner County
1408,24693,B,2008,Fall,August,19,Idaho,Bonner County
1409,13828,B,2006,Winter,February,10,Idaho,Bonner County
1410,20221,B,2000,Winter,,Winter 2000,Idaho,Bonner County
1411,2059,A,1997,Spring,May,30,Idaho,Bonner County
1412,26487,A,1993,Fall,October,,Idaho,Bonner County
1413,20802,A,1985,Summer,August,15,Idaho,Bonner County
1414,25156,A,1980,Fall,October,"Oct. 28, 1980",Idaho,Bonner County
1416,10510,A,1969,Fall,October,,Idaho,Bonner County
1417,1801,A,1967,Summer,July,@29th,Idaho,Bonner County
1418,16527,A,2006,Fall,November,04,Idaho,Bonneville County
1419,2060,B,1987,Winter,,,Idaho,Boundary County
1420,13692,A,1988,Summer,August,??,Idaho,Camas County
1421,2061,A,1977,Fall,October,Late in the month,Idaho,Camas County
1422,20884,A,2007,Summer,August,August 9,Idaho,Cassia County
1423,3629,A,1999,Summer,July,7/15/99,Idaho,Cassia County
1424,50124,A,2015,Fall,October,20,Idaho,Clark County
1425,63250,A,2007,Summer,July,,Idaho,Clark County
1426,11070,A,1997,Summer,July,,Idaho,Clark County
1427,13768,B,1997,Fall,August,19th,Idaho,Clark County
1428,61107,B,2018,Fall,September,9/26/2018,Idaho,Clearwater County
1429,8460,B,1995,Summer,June,,Idaho,Clearwater County
1430,22651,A,2001,Fall,September,Labor Day Weekend,Idaho,Clearwater County
1431,2062,A,1995,Fall,October,10/28/1995,Idaho,Clearwater County
1432,56257,B,2013,Summer,June,6th,Idaho,Custer County
1433,10960,B,2004,Summer,August,,Idaho,Custer County
1434,13717,B,2001,Fall,September,,Idaho,Custer County
1435,3085,A,1980,Summer,July,July 20,Idaho,Custer County
1436,6983,A,1975,Fall,October,,Idaho,Custer County
1437,71863,B,2021,Fall,October,29th,Idaho,Elmore County
1438,74987,B,2019,Summer,July,19,Idaho,Idaho County
1439,38287,A,2012,Fall,December,4th,Idaho,Idaho County
1440,9954,B,1974,Fall,September,14,Idaho,Idaho County
1441,30868,B,2010,Summer,June,,Idaho,Kootenai County
1442,63726,B,2008,Spring,May,,Idaho,Kootenai County
1443,15206,B,2005,Fall,October,6,Idaho,Kootenai County
1444,7180,A,2003,Fall,October,14,Idaho,Kootenai County
1445,2315,B,1996,Summer,June,,Idaho,Kootenai County
1446,10012,A,1988,Winter,December,3,Idaho,Kootenai County
1447,67401,B,2020,Fall,October,Oct 9,Idaho,Latah County
1448,57248,A,2011,Winter,February,15,Idaho,Latah County
